Designator,Mid X,Mid Y,Rotation,Layer
D1,27.648,-48.1965,90.0,top
D10,50.508,-48.1965,90.0,top
D11,53.048,-48.1965,90.0,top
D12,55.588,-48.1965,90.0,top
D13,58.128,-48.222,90.0,top
D14,60.668,-48.1965,90.0,top
D15,63.208,-48.222,90.0,top
D16,65.748,-48.1965,90.0,top
D2,30.188,-48.1965,90.0,top
D3,32.728,-48.1965,90.0,top
D4,35.268,-48.1965,90.0,top
D5,37.808,-48.1965,90.0,top
D6,40.348,-48.1965,90.0,top
D7,42.888,-48.1965,90.0,top
D8,45.428,-48.1965,90.0,top
D9,47.968,-48.1965,90.0,top
JP2,79.21,-66.002,0.0,top
R1,27.648,-51.715,90.0,top
R10,32.728,-58.445,90.0,top
R11,35.268,-51.715,90.0,top
R12,35.268,-55.08,90.0,top
R13,35.268,-58.445,90.0,top
R14,37.808,-51.715,90.0,top
R15,37.808,-55.08,90.0,top
R16,37.808,-58.445,90.0,top
R17,40.348,-51.715,90.0,top
R18,40.348,-55.08,90.0,top
R19,40.348,-58.445,90.0,top
R2,27.648,-55.08,90.0,top
R20,42.888,-51.715,90.0,top
R21,42.888,-55.08,90.0,top
R22,42.888,-58.445,90.0,top
R23,45.428,-51.715,90.0,top
R24,45.428,-55.08,90.0,top
R25,45.428,-58.445,90.0,top
R26,47.968,-51.715,90.0,top
R27,47.968,-55.08,90.0,top
R28,47.968,-58.445,90.0,top
R29,50.508,-51.715,90.0,top
R3,27.648,-58.445,90.0,top
R30,50.508,-55.08,90.0,top
R31,50.508,-58.445,90.0,top
R32,53.048,-51.715,90.0,top
R33,53.048,-55.08,90.0,top
R34,53.048,-58.445,90.0,top
R35,55.588,-51.715,90.0,top
R36,55.588,-55.08,90.0,top
R37,55.588,-58.445,90.0,top
R38,58.128,-51.715,90.0,top
R39,58.128,-55.08,90.0,top
R4,77.94,-58.445,90.0,top
R40,58.128,-58.445,90.0,top
R41,60.668,-51.715,90.0,top
R42,60.668,-55.08,90.0,top
R43,60.668,-58.445,90.0,top
R44,63.208,-51.715,90.0,top
R45,63.208,-55.08,90.0,top
R46,63.208,-58.445,90.0,top
R47,65.748,-51.715,90.0,top
R48,65.748,-55.08,90.0,top
R49,65.748,-58.445,90.0,top
R5,30.188,-51.715,90.0,top
R50,75.4,-58.445,90.0,top
R51,72.86,-58.445,90.0,top
R52,70.32,-58.445,90.0,top
R53,88.1,-58.382,90.0,top
R54,85.56,-58.445,90.0,top
R55,83.02,-58.445,90.0,top
R56,80.48,-58.445,90.0,top
R6,30.188,-55.08,90.0,top
R7,30.188,-58.445,90.0,top
R8,32.728,-51.715,90.0,top
R9,32.728,-55.08,90.0,top
U1,40.998,-38.062,0.0,top
U3,55.222,-38.062,0.0,top
